AlgorithmName,DefaultID,Enabled,EnvironmentVariable,AddEnv
frodo640aes,65024,Yes,OQS_CODEPOINT_FRODO640AES,no
p256_frodo640aes,65025,Yes,OQS_CODEPOINT_P256_FRODO640AES,no
x25519_frodo640aes,65026,Yes,OQS_CODEPOINT_X25519_FRODO640AES,no
frodo640shake,65027,Yes,OQS_CODEPOINT_FRODO640SHAKE,no
p256_frodo640shake,65028,Yes,OQS_CODEPOINT_P256_FRODO640SHAKE,no
x25519_frodo640shake,65029,Yes,OQS_CODEPOINT_X25519_FRODO640SHAKE,no
frodo976aes,65030,Yes,OQS_CODEPOINT_FRODO976AES,no
p384_frodo976aes,65031,Yes,OQS_CODEPOINT_P384_FRODO976AES,no
x448_frodo976aes,65032,Yes,OQS_CODEPOINT_X448_FRODO976AES,no
frodo976shake,65033,Yes,OQS_CODEPOINT_FRODO976SHAKE,no
p384_frodo976shake,65034,Yes,OQS_CODEPOINT_P384_FRODO976SHAKE,no
x448_frodo976shake,65035,Yes,OQS_CODEPOINT_X448_FRODO976SHAKE,no
frodo1344aes,65036,Yes,OQS_CODEPOINT_FRODO1344AES,no
p521_frodo1344aes,65037,Yes,OQS_CODEPOINT_P521_FRODO1344AES,no
frodo1344shake,65038,Yes,OQS_CODEPOINT_FRODO1344SHAKE,no
p521_frodo1344shake,65039,Yes,OQS_CODEPOINT_P521_FRODO1344SHAKE,no
mlkem512,512,Yes,OQS_CODEPOINT_MLKEM512,no
p256_mlkem512,0x2F4B,Yes,OQS_CODEPOINT_P256_MLKEM512,no
x25519_mlkem512,0x2FB6,Yes,OQS_CODEPOINT_X25519_MLKEM512,no
mlkem768,513,Yes,OQS_CODEPOINT_MLKEM768,no
p384_mlkem768,0x2F4C,Yes,OQS_CODEPOINT_P384_MLKEM768,no
x448_mlkem768,0x2FB7,Yes,OQS_CODEPOINT_X448_MLKEM768,no
X25519MLKEM768,0x11ec,Yes,OQS_CODEPOINT_X25519MLKEM768,no
SecP256r1MLKEM768,0x11eb,Yes,OQS_CODEPOINT_SECP256R1MLKEM768,no
mlkem1024,514,Yes,OQS_CODEPOINT_MLKEM1024,no
p521_mlkem1024,0x2F4D,Yes,OQS_CODEPOINT_P521_MLKEM1024,no
SecP384r1MLKEM1024,0x11ED,Yes,OQS_CODEPOINT_SECP384R1MLKEM1024,no
